Refereed Publications,Project,semantic_scholar_url
"Zhang, Z., Li, Y., Barlage, M., Chen, F., Miguez-Macho, G., Ireson, A. and Li, Z. (2020). Modeling groundwater responses to climate change in the Prairie Pothole Region. Hydrological Earth System Sciences, 24(2):655¢672. https://doi.org/10.5194/hess-24-655-2020, 2020.",AWF,https://www.semanticscholar.org/paper/4e5eb3a2be3f36c32e07a70667e4f070573cf0b1
"Deane, P.J., Wilkinson, S.L., Moore, P.A. and Waddington, J.M., 2020. Seismic Lines in Treed Boreal Peatlands as Analogs for Wildfire Fuel Modification Treatments. Fire, 3(2), p.21. doi.org/10.3390/fire3020021",Boreal WF,https://www.semanticscholar.org/paper/4e005a2c18b5263fbbdd51421538869e168b69c3
" Helbig, M., Waddington, J.M., Alekseychik, P., Amiro, B.D., Aurela, M., Barr, A.G., Black, T.A., Blanken, P.D., Carey, S.K., Chen, J. and Chi, J., 2020. Increasing contribution of peatlands to boreal evapotranspiration in a warming climate. Nature Climate Change, pp.1-6.",Boreal WF,https://www.semanticscholar.org/paper/9da6c2a9bde1fcf331d5a4ac815f47b898d80b3f
"Wilkinson, S.L., Verkaik, G.J., Moore, P.A. and Waddington, J.M., 2020. Threshold peat burn severity breaks evaporation¢ -limiting feedback. Ecohydrology, 13(1), p.2168. doi.org/10.1002/eco.2168",Boreal WF,https://www.semanticscholar.org/paper/059c3189a42d86f9697747d995f293eb51c38af7
"Wilkinson, S.L., Moore, P.A. and Waddington, J.M., 2019. Assessing Drivers of Cross-Scale Variability in Peat Smouldering Combustion Vulnerability in Forested Boreal Peatlands. Frontiers in Forests and Global Change, 2, p.84. doi.org/10.3389/ffgc.2019.00084",Boreal WF,https://www.semanticscholar.org/paper/6e78f81e8c1b25832b81b8427bc13f3be0d9ccb4
" Asong, Z., Elshamy, M., Princz, D., Wheater, H., Pomeroy, J., Pietroniro, A., & Cannon, A. 2020. High-resolution meteorological forcing data for hydrological modelling and climate change impact analysis in the Mackenzie River Basin. Earth System Science Data, 12(1): 629-645, DOI: 10.5194/essd-12-629-2020. ",Boreal WF,https://www.semanticscholar.org/paper/e784370c56d4eef9ddd26ed08e4cb683ff00e7c9
"Lv, Z., & Pomeroy, J. 2020. Assimilating snow observations to snow interception process simulations. Hydrological Processes, DOI: 10.1002/hyp.13720. ",Boreal WF,https://www.semanticscholar.org/paper/a34763bc9069c854a7dd444081a4d48f7ed2232f
"Whitfield, PH., Shook, KR., & Pomeroy, JW. 2020. Spatial patterns of temporal changes in Canadian Prairie streamflow using an alternative trend assessment approach. Journal of Hydrology, 582: 1-12, DOI: 10.1016/ j.jhydrol.2020.124541. ",Boreal WF,https://www.semanticscholar.org/paper/90e64de796b5acc1c236523c4b105f13a9f9af10
" Van, Huizen B., Petrone, R., Price, J., Quinton, W., & Pomeroy, J. 2019. Seasonal ground ice impacts on spring ecohydrological conditions in a Western Boreal Plains peatland. Hydrological Processes, 34(3): 1-15, DOI: 10.1002/ hyp.13626. ",Boreal WF,https://www.semanticscholar.org/paper/b03c1f03a3485afdbc98cbfbd9b65e6cdac83969
"Stone, L.E., Fang, X., Haynes, K.M., Helbig, M., Pomeroy, J.W., Sonnentag, O., & Quinton, W.L. 2019. Modelling the effects of permafrost loss on discharge from a wetland-dominated, discontinuous permafrost basin. Hydrological Processes, 33(20): 2607-2626, DOI: 2607-10.1002/hyp.13546.  ",Boreal WF,https://www.semanticscholar.org/paper/909cf702f9fce36f264f92dd18a0190eb978b5e4
"Lv, Z. & Pomeroy, J. 2019. Detecting intercepted snow on mountain needleleaf forest canopies using satellite remote sensing. Remote Sensing of Environment, 231, 1-19, DOI: 10.1016/j.rse.2019.111222.   ",Boreal WF,https://www.semanticscholar.org/paper/cb7ae18aa8bce90560f11a721dff1b7996e2aa7c
"Biagi, K.M, Oslwald, C.J, Nicholls, E.M, Carey, S.K. 2019. Increases in salinity following a shift in hydrologic regime in a constructed wetland watershed in a post-mining oil sands landscape. Science of the Total Environment, 653, 1445-1457. doi: 10.1016/j.scitotenv.2018.10.341",Boreal WF,https://www.semanticscholar.org/paper/248e71d410680a8fb39d40fa5e8e444c34514ff6
"Clark, M.G, Humphreys E.R, Carey, S.K. 2019. The initial three years of carbon dioxide exchange between the atmosphere and a reclaimed oil sand wetland. Ecological Engineering, 135, 116-126. doi: 10.1016/j.ecoleng.2019.05.016",Boreal WF,https://www.semanticscholar.org/paper/704022d2563fa4bf8530ced498eaf30b778b6c05
"Biagi, K.M, Carey, S.K. 2020. The role of snow processes and hillslopes on runoff generation in present and future climates in a recently constructed peatland watershed in the Athabasca oil sands region Hydrological Processes. ",Boreal WF,https://www.semanticscholar.org/paper/3ed59651d09dcad83786cec48434d8d4a042e9b0
"Robinne, F.-N., Bladon, K. D., Silins, U., Emelko, M. B., Flannigan, M. D., Parisien, M.-A., Wang, X., Kienzle, S. W., & Dupont, D. P. 2019. A regional-scale index for assessing the exposure of drinking-water sources to wildfires. Forests, 10(5), 384. https://doi.org/10.3390/f10050384 ",Boreal WF,https://www.semanticscholar.org/paper/ba1e9615d4fdd184f43580d63d307d2aa3160157
"Robinne, F., Hallema, D. W., Bladon, K. D., & Buttle, J. M. 2019. Wildfire impacts on hydrologic ecosystem services in North American high-latitude forests: A scoping review. Journal of Hydrology, 581, p.124360. https://doi.org/10.1016/J.JHYDROL.2019.124360 ",Boreal WF,https://www.semanticscholar.org/paper/e5ae224d5149807575949f7f911b9341b5d3acb7
"Hallema, D. W., Kinoshita, A. M., Martin, D. A., Robinne, F.-N., Galleguillos, M., McNulty, S. G., Sun, G., Singh, K. K., Mordecai, R. S., & Moore, P. F. 2019. Fire, forests and city water supply. Unasylva, 251, 58¢66.  http://www.fao.org/documents/card/en/c/ca6842en  ",Boreal WF,https://www.semanticscholar.org/paper/65c2b2b46db3ef866668ece620eed8ae985b755a
"Coogan, S. C. P., Robinne, F.-N., Jain, P., & Flannigan, M. D. 2019. Scientists¢ warning on wildfire¢ a Canadian perspective. Canadian Journal of Forest Research, 1015¢1023. https://doi.org/10.1139/cjfr-2019-0094  ",Boreal WF,https://www.semanticscholar.org/paper/001ec1b19e45375e00ef44c2d8ca0efdcb62eb73
"Hallema, D. W., Sun, G., Caldwell, P. V., Robinne, F., Bladon, K. D., Norman, S. P., Liu, Y., Cohen, E. C., & McNulty, S. G. 2019. Wildland fire impacts on water yield across the contiguous United States. USDA Forest Service Southern Research Station. https://www.srs.fs.usda.gov/pubs/58095  ",Boreal WF,https://www.semanticscholar.org/paper/b0a4462e97a464b200900b1e10cd1ab23d515bfb
"Rupasinghe, P. and Chow-Fraser, P.  2019.  Mapping invasive Phragmites australis in Lake Erie wetlands (Canada) using multispectral satellite imagery.  Wetlands Ecology and Management. 27(1), 513-538.",Boreal WF,https://www.semanticscholar.org/paper/13df9dd74398ffa679ba992555d8b47ea5572eba
"Balliston, N. and Price, J.S. 2019. Heterogeneity of the peat profile and its role in unsaturated sodium chloride rise at field and laboratory scales, Vadose Zone Journal, 19 (1), DOI: 10.1002/vzj2.20015",Boreal WF,https://www.semanticscholar.org/paper/886730118935790320df50f929f943e7f84a7c70
"Bechtold, M., De Lannoy, G. J. M., Reichle, R. H., Roose, D., Balliston, N., Burdun, I., Devito, K., Kurbatova, J., Strack, M., and Zarov, E. A. 2020. Improved Groundwater Table and L-band Brightness Temperature Estimates for Northern Hemisphere Peatlands Using New Model Physics and SMOS Observations in a Global Data Assimilation Framework, Remote Sensing of the Environment. ",Boreal WF,https://www.semanticscholar.org/paper/44252d387e0f44b4c8b5f7a3e08626697387cbbf
"Newell, S. L., Nagabhatla, N., Doubleday, N. C., & Bloecker, A. 2019. The Potential for Locally Managed Marine Area (LMMAs) as a Participatory Strategy for Coastal and Marine Ecosystems-The Global Commons. OIDA International Journal of Sustainable Development, 12(04), 47-62.",Boreal WF,https://www.semanticscholar.org/paper/ede89511380e17897db28a697c51471bbd485eee
"Y. Wu, N. Zhang, G. Slater, J. M. Waddington, and C. F. de Lannoy. 2020. Hydrophobicity of peat soils: Characterization of organic compound changes associated with heat-induced water repellency, Science of the Total Environment, 714(1), p.2011.",Boreal WF,https://www.semanticscholar.org/paper/52281c594e93187641f9a6c66dbd2d4a7d7e5d9a
"Wilkinson, S.L., Tekatch, A.M., Markle, C.E., Moore, P.A., Waddington, J.M. Shallow Peat is Most Vulnerable to High Peat Burn Severity During Wildfire. Submitted to Environmental Research Letters, June 2020.",Boreal WF,https://www.semanticscholar.org/paper/cbc1dcca419485001ffbdeca32ee773b717172c5
"Clark MG, Drewitt GB, Carey SK. Energy and Carbon lake-atmosphere fluxes from an oil sands pit lake. Submitted to Science of the Total Environment, January 2020.",Boreal WF,https://www.semanticscholar.org/paper/531c229c1ad1f320ff8e4ad63dc4a66d4f8ca94c
" Y. Wu, N. Zhang, C.-F. de Lannoy, Boreal Peat Activated Carbon Sorbents for Phenolic Compound Removal from Wastewater. Submitted to Journal of Hazardous Materials.",Boreal WF,https://www.semanticscholar.org/paper/8b49c562bd818a96620c2e2a2aa88d45d8af77d7
"Newell, S.L., Doubleday, N.C., & Chesterfield Inlet. Sharing country food: connecting health, food security, and cultural continuity. Under review with Polar Research Journal.",Boreal WF,https://www.semanticscholar.org/paper/616295c199487fa200c5c7f3870222b573c75255
"Ben Alaya, M. A, Zwiers, F. and Zhang, X., 2019a: Probable maximum precipitation in a warming climate over North America in CanRCM4 and CRCM5. Climatic Change, 1-19, https://doi.org/10.1007/s10584-019-02591-7",Climate Extremes,https://www.semanticscholar.org/paper/6bd2823923e0c00c40eacb9a924225f3148f258d
"Ben Alaya, M. A., Zwiers, F. W. and Zhang, X., 2019b: Evaluation and comparison of CanRCM4 and CRCM5 to estimate probable maximum precipitation over North America. Journal of Hydrometeorology, 20, 2069¢2089, https://doi.org/10.1175/JHM-D-18-0233.1",Climate Extremes,https://www.semanticscholar.org/paper/05638d8b91bd54dae381e28055bf64c544e97dff
"Ben Alaya, M. A., Zwiers, F. W. and Zhang, X., (2020): An evaluation of block-maximum based estimation of very long return period precipitation extremes with a large ensemble climate simulation. Journal of Climate. Submitted, in revision",Climate Extremes,https://www.semanticscholar.org/paper/f819bd31e456384f75b0fcd688ac916bf69fc73c
"Ben Alaya, M.A., Zwiers, F. and Zhang, X., 2020b: A bivariate events approach to estimating the probability of very extreme precipitation events. Weather and Climate Extremes. Submitted, in revision",Climate Extremes,https://www.semanticscholar.org/paper/29d03720f72650b7c7abc73c4a6a94cac99f45d4
"Betancourt, D., Hanesiak, J., Liu, G., Li, Z., Li, Y., Brimelow, J., 2020: PGW Future change of hail over the northern Plains and Canadian Prairies, J. Climate. (In prep.)  ",Climate Extremes,
"Bonsal, B., Liu, Z., Stewart, R.E. and Wheaton, E., 2020: Projected changes to the surface features of Canadian Prairie droughts. Atmos.-Ocean. (In prep.)",Climate Extremes,https://www.semanticscholar.org/paper/2e50e0e1f0f6a1f025434cc51771b3956eb820f1
"Chartrand, J. and Theriault, J. M., 2020: Freezing rain events impacting the Province of New Brunswick, Canada, and their evolution in a warmer climate, Climate Dynamics. (In prep.)  ",Climate Extremes,
"Chen, L., Li, Y., Chen, F., Barlage, M., Zhang, Z., Li, Z., 2019: Using 4-km WRF CONUS simulations to assess impacts of the surface coupling strength on regional climate simulation, Climate Dynamics, DOI:10.1007/s00382-019-04932-9",Climate Extremes,https://www.semanticscholar.org/paper/89b4c8d0228bbe1ff93adf3effa07d79ab97a3e1
"Cholette, M., Theriault, J. M., Milbrandt, J. A. and Morrison, H., 2020: Impacts of predicting the liquid fraction of mixed-phase particles on the simulation of an extreme freezing rain event: the 1998 North American Ice Storm, Monthly Weather Review (Submitted on 28 January 2020; MWR-D-20-0026)",Climate Extremes,https://www.semanticscholar.org/paper/59d823dc6e586a3c64301160bc573afdf238f7b4
"Cholette, M., Theriault, J. M., 2020: Precipitation Type Distribution and Microphysical Processes During the 1998 Ice Storm Simulated Under Pseudo-Warmer Conditions, J. of Applied Meteorology and Climatology (In Prep.)",Climate Extremes,https://www.semanticscholar.org/paper/3c2a56afb81c3aca4080db097c1c4d66da694bf6
"Hanesiak, J., Stewart, R.E., Painchaud-Niemi, D., and Liu, Z., 2020: The catastrophic October 2019 wet snow storm over southern Manitoba. Mon. Wea. Rev. (In prep.)  ",Climate Extremes,
"Huang, W., Monahan, A. and Zwiers, F.W., 2020: A conditional approach to estimating concurrent climate extremes, Weather and Climate Extremes (In Prep.)",Climate Extremes,https://www.semanticscholar.org/paper/5c5eca0405f797b2278f610ce03205cb5618178a
"Kurkute, S., Li, Z., Li, Y., & Huo, F. 2019: Assessment and projection of water budget over Western Canada using Convection Permitting WRF Simulations. Hydrol. Earth Syst. Sci. Discuss., 132. https://doi.org/10.5194/hess-2019-522",Climate Extremes,https://www.semanticscholar.org/paper/05ecc82c6260d35845af3e6ae3f34349ff5107e1
"Li, Y., Li, Z., Zhang, Z., Chen, L., Kurkute, S., Scaff, L. and Pan, X., 2019: High-resolution regional climate modeling and projection over Western Canada using a Weather Research Forecasting Model with a Pseudo-Global Warming Approach, Hydrol. Earth Syst. Sci. 23, 4635¢4659",Climate Extremes,https://www.semanticscholar.org/paper/d0e2f8d7b5ba8a9261a3d9564b7b5fb3e1225bad
"Li, C., Zwiers, F.W., Zhang, X., Chen, G., Lu, J. Li, G., Norris, J., Tan, Y., 2019a: Larger increases in more extreme local precipitation events in a warming climate. Geophysical Research Letters, doi: 10.1029/2019GL082908",Climate Extremes,https://www.semanticscholar.org/paper/8927153f6e5bf462e2353cc9d1079eca643fc76c
"Li, C., Zwiers, F.W., Zhang, X., Li, G., Sun, Y. and Wehner, M., 2019b: Changes in temperature and precipitation extremes in the new-generation CMIP6 models. Journal of Climate. Submitted",Climate Extremes,https://www.semanticscholar.org/paper/f37f785aa4c13f91a76e5be4aeaed3863dcffb2e
"Marinier, S., Theriault, J. M. and Ikeda, K., 2020: Changes in freezing rain occurrences over eastern Canada using convection-permitting climate simulations, Climate Dyn. (In Prep.)",Climate Extremes,
"Mekis, E., Stewart, R.E., Theriault, J.M., Kochtubajda, B., Bonsal, B.R. and Liu, Z., 2020: Near 0°C surface temperature and precipitation type patterns across Canada. Hydrol. Earth Syst. Sci., 24, 1741¢1761, https://doi.org/10.5194/hess-24-1741-2020",Climate Extremes,https://www.semanticscholar.org/paper/5b41b295e205d1d66e99880cd075955444d0926e
"Scaff, L., Prein, A. F., Li, Y., Liu, C., Rasmussen, R., Ikeda, K., 2019: Simulating the diurnal cycle of convective precipitation in North America¢s current and future climate with a convection- permitting model, Climate Dynamics, DOI: 10.1007/s00382-019-04754-9",Climate Extremes,https://www.semanticscholar.org/paper/d944ad72c679680886e09df25ab99af015b07f67
"Stewart, R. E., Szeto, K. K., Bonsal, B. R., Hanesiak, J. M., Kochtubajda, B., Li, Y.,  Theriault, J. M., DeBeer, C. M., Tam, B. Y., Li, Z., Liu, Z.,  Bruneau, J. A., Marinier, S. and Matte, D., 2019: A review and synthesis of future Earth System change in the interior of Western Canada: Part I - Climate and meteorology, Hydrology and Earth System Sciences, 23, 3437¢3455, https://doi.org/10.5194/hess-23-3437-2019",Climate Extremes,https://www.semanticscholar.org/paper/9dc8d314c365a213beb2d24060b1fdd31f7301ae
"Sun, Q., Zhang, X., Zwiers, F.W., Westra, S. and Alexander, L.V., 2019a: A global, continental and regional analysis of changes in extreme precipitation. Journal of Climate. Submitted",Climate Extremes,https://www.semanticscholar.org/paper/9be02c31fa2f07174f1e154d3610bf30fb53479a
"Sun, Q., Zwiers, F.W., Zhang, X. and Li, G., 2019b: Scaling relationships between extreme precipitation and local temperature: contrasting for binning scaling and trend scaling. Journal of Climate. Submitted",Climate Extremes,
"Tan, Q., Zwiers, F.W., Yang, S., Li, C. and Deng, K., 2019: The role of circulation and its changes in present and future Atmospheric Rivers over western North America. Journal of Climate, 33, 1261-1281, doi:10.1175/JCLI-D-19-0134.1",Climate Extremes,https://www.semanticscholar.org/paper/9df4abd93793779fae28e2ec53064f499a20a989
"Theriault, J.M., McFadden, V., Thompson, H. and Cholette, M., 2020: Meteorological factors responsible of the severity of the ice storm 24-26 January 2017 over the Acadian Peninsula, New Brunswick, Canada, J. of Applied Meteorology and Climatology. (In prep.)   ",Climate Extremes,
"Tropea, B. and Stewart, R.E., 2020: Assessing past and future hazardous freezing rain and wet snow events in Manitoba using a Pseudo-Global Warming approach. J. Geoph. Res. (In prep.)  ",Climate Extremes,https://www.semanticscholar.org/paper/8f224f63c51aa5a9449e6e8a06c8005bbb0c9ffc
"Arcand, M. Bradford, L., Worme, D., Strickert, G., Bear, K. Johnston, A., Wuttunee, S., Gamble, A. Shewfelt, D. (2020). Sowing a way towards revitalizing Indigenous agriculture: Creating meaning from a forum discussion in Saskatchewan, Canada. FACETS, Accepted May 14, 2020.",Agent Based Modelling,https://www.semanticscholar.org/paper/416066753101a3046858d91175c6568c773c999f
"McLeod, L., Bharadwaj, L., Daigle, J., Waldner, C., Bradford, L. (2020). A quantitative analysis of Drinking Water Advisories in Saskatchewan Indigenous and Rural Communities 2012-2016. Canadian Water Resources Journal. Accepted April 11th, 2020",Agent Based Modelling,https://www.semanticscholar.org/paper/8099d99b556a3398df054bb9e861b33e8a6d3a4f
"Bharadwaj, L. (2020). A Framework for Building Research Partnerships with First Nations Communities. Environmental Health Insights, 8(1).",Agent Based Modelling,https://www.semanticscholar.org/paper/1ec9409226f04a356db01fcc8c1522366e6d79a2
"Bharadwaj, L. A. (2019). Tenets of Community-Engaged Scholarship Applied to Delta Ways Remembered. Engaged Scholar Journal: Community-Engaged Research, Teaching, and Learning, 5(3), 45-60.",Agent Based Modelling,https://www.semanticscholar.org/paper/ad389e7049535819dc9a810c01a7d16fe3332724
"Bentham, D., Wilson, A., McKenzie, M., & Bradford, L. (2019). Sustainability Education in First Nations Schools: A Multi-site Study and Implications for Education Policy. Canadian Journal of Educational Administration and Policy, (191).",Agent Based Modelling,https://www.semanticscholar.org/paper/799e452ffc38ec031d31c6c4757fdac74ae940f5
"Ford, L., Waldner, C., Sanchez, J., & Bharadwaj, L. (2019). Risk perception and human health risk in rural communities consuming unregulated well water in Saskatchewan, Canada. Risk Analysis, 39(11), 2559-2575.",Agent Based Modelling,https://www.semanticscholar.org/paper/3d8d24631f1a5f9751469bc4bd97a51c974194d8
